data/input/cn.dat auto written
1 2
1981  2024
1  7
1
514.646  	7922.919  	3220.006  	903.66  	181.649  	28.593  	20.175
3634.929  	1681.346  	3205.573  	1188.604  	367.385  	110.516  	33.198
3178.042  	4540.236  	1118.313  	1400.318  	467.586  	147.876  	59.587
3230.863  	2371.394  	2563.793  	447.717  	555.143  	184.622  	58.5
6543.141  	5183.357  	1268.636  	1091.353  	140.003  	167.308  	78.576
1762.337  	1499.833  	2054.834  	410.801  	190.766  	40.118  	29.888
22231.28  	4848.607  	987.699  	904.632  	136.644  	56.266  	26.463
1239.015  	9395.113  	2195.366  	278.278  	210.211  	38.58  	20.322
8259.824  	1087.694  	3858.209  	708.653  	112.865  	68.874  	33.492
4693.71  	4065.15  	432.26  	923.699  	169.714  	23.363  	10.82
4035.814  	1741.732  	1807.094  	187.556  	265.636  	70.486  	22.757
8792.281  	2010.658  	578.156  	720.385  	68.894  	58.047  	23.599
606.881  	3680.114  	1050.694  	131.368  	182.899  	23.905  	35.992
3685.075  	1212.984  	1544.826  	279.956  	56.326  	51.462  	20.386
1377.68  	2806.063  	699.526  	630.301  	69.983  	15.094  	10.548
531.695  	2381.062  	1209.577  	247.025  	203.787  	30.826  	12.886
2934.97  	1100.606  	989.114  	280.844  	65.631  	62.05  	7.024
1100.485  	4290.233  	292.826  	174.329  	56.766  	15.987  	8.554
361.936  	889.45  	1046.768  	63.714  	47.745  	24.027  	9.287
3646.54  	565.114  	210.522  	231.131  	15.326  	12.306  	12.976
271.516  	1356.089  	154.693  	62.576  	51.718  	2.76  	3.58
1387.548  	539.305  	521.68  	40.526  	13.308  	13.752  	3.886
176.208  	513.806  	99.767  	120.189  	7.356  	1.96  	1.511
282.383  	121.993  	90.338  	11.607  	26.758  	2.526  	0.998
163.226  	145.967  	45.703  	39.923  	7.15  	6.175  	0.475
1076.043  	142.567  	103.708  	25.11  	16.686  	2.606  	1.49
289.873  	1491.576  	99.921  	63.851  	4.54  	5.903  	2.084
64.282  	171.242  	522.492  	23.583  	14.664  	1.077  	2.403
591.463  	165.767  	125.826  	185.845  	13.681  	8.333  	0.566
415.932  	889.427  	175.113  	36.708  	17.341  	0.791  	0.567
303.081  	608.053  	1306.546  	119.697  	5.069  	9.789  	0.516
1029.831  	180.769  	622.762  	101.063  	3.226  	2.341  	2.055
2175.118  	354.826  	227.61  	205.706  	33.157  	1.831  	3.757
913.226  	953.346  	717.293  	149.4  	70.203  	4.38  	0.122
264.263  	615.064  	660.459  	101.891  	38.927  	21.285  	0.838
1253.998  	394.111  	271.215  	145.702  	30.058  	8.621  	10.892
239.865  	441.947  	963.428  	269.989  	88.936  	17.816  	2.62
88.139  	456.918  	234.698  	378.377  	105.03  	49.429  	16.222
256.1383  	132.3251  	177.7353  	95.03948  	142.4374  	57.31631  	12.543
311.3869  	247.7946  	25.75832  	64.6558  	44.34205  	52.681  	29.638
6.375628  	202.8649  	358.9937  	50.18876  	52.85244  	8.221465  	11.757
38.94169  	70.15009  	149.5829  	230.43  	43.63963  	20.06171  	7.209109
29.750124	60.239754	58.117254	63.248214	98.506419	26.174557	9.441128
49.599273	89.547459	227.977435	90.265738	40.380455	11.57115	0.458143

