data/input/lw.dat auto written
1 2
1981  2024
1  7
1
0.55  	1.166  	2.839  	4.923  	7.518  	9.314  	10.328
0.692  	1.468  	2.737  	4.749  	6.113  	7.227  	9.856
0.583  	1.265  	2.995  	4.398  	6.305  	8.084  	9.744
0.735  	1.402  	3.168  	5.375  	6.601  	8.606  	10.35
0.628  	1.183  	2.597  	4.892  	6.872  	8.344  	9.766
0.71  	1.211  	2.785  	4.655  	6.336  	8.283  	9.441
0.531  	1.312  	2.783  	4.574  	6.161  	7.989  	10.062
0.806  	1.182  	2.886  	5.145  	6.993  	8.204  	9.803
0.704  	1.298  	2.425  	4.737  	7.027  	7.52  	9.594
0.613  	1.275  	2.815  	4.314  	7.021  	9.027  	11.671
0.64  	1.095  	2.618  	4.346  	6.475  	8.134  	10.076
0.686  	1.293  	2.607  	4.268  	6.19  	7.844  	10.598
0.775  	1.316  	2.94  	4.646  	6.244  	7.802  	8.409
0.644  	1.292  	2.899  	4.71  	6.389  	8.423  	8.409
0.606  	1.148  	2.857  	4.956  	6.771  	8.539  	9.505
0.667  	1.221  	2.738  	5.056  	6.892  	8.088  	10.759
0.595  	1.21  	2.571  	4.805  	6.952  	7.821  	9.63
0.605  	1.061  	2.264  	4.506  	6.104  	8.017  	9.612
0.691  	1.039  	2.194  	4.688  	6.486  	8.252  	9.439
0.689  	1.261  	2.457  	4.126  	6.666  	7.917  	8.392
0.654  	0.988  	2.679  	4.568  	5.86  	7.741  	9.386
0.668  	1.14  	2.33  	4.841  	6.175  	7.192  	9.548
0.659  	1.046  	2.272  	3.82  	5.932  	8.022  	8.681
0.605  	1.026  	2.191  	4.398  	6.033  	8.242  	9.84
0.75  	1.109  	2.425  	3.969  	4.775  	6.616  	10.214
0.659  	1.176  	2.239  	3.813  	6.16  	7.759  	11.041
0.728  	1.127  	2.592  	4.322  	6.503  	7.738  	8.83
0.556  	1.157  	3.067  	4.843  	6.283  	7.964  	8.487
0.974  	2.038  	2.861  	4.781  	6.004  	8.327  	9.137
0.936  	1.468  	2.918  	4.064  	5.785  	9.158  	10.275
0  	1.804  	2.811  	4.51  	5.842  	6.528  	9.837
0.661  	1.797  	3.118  	5.331  	6.428  	7.617  	8.695
0.957  	1.368  	2.933  	4.075  	6.135  	7.144  	9.842
1.028  	1.6  	2.097  	3.051  	4.693  	5.503  	7.207
0.914  	2.406  	2.958  	3.844  	5.455  	5.558  	9.158
0.713  	1.429  	2.367  	3.917  	5.137  	6.596  	7.622
0.902  	1.229  	2.063  	4.533  	5.616  	5.081  	9.243
0.871  	1.686  	2.761  	4.163  	5.427  	6.427  	8.575
0.85717  	1.15899  	2.96184  	4.24183  	5.46139  	7.04508  	8.84144
0.61839  	1.31002  	2.30834  	4.76342  	5.95713  	6.36166  	6.44785
0.90788  	1.20698  	2.75972  	3.5182  	5.4426  	7.3158  	7.37715
0.71322  	1.15479  	2.09256  	4.1384  	5.26371  	7.33828  	8.088116
0.6737		1.56603		2.52364		4.08869		6.23466		7.42875		7.885666474
0.63769		1.78911		2.92393	4.55299	6.17946	7.95157	8.61059

